combination_method,layer_group,mse_mean,mse_std,mae_mean,mae_std,pearson_mean,pearson_std
attention,all_layers,439.2702,5.8318,20.9141,0.1334,0.0273,0.0058
attention,first_half,100.8878,3.9192,10.0008,0.1996,-0.0158,0.0167
attention,first_last,381.0539,2.0569,19.5017,0.0509,0.0227,0.0056
attention,last_4,439.2919,5.8302,20.9146,0.1334,0.0273,0.0058
attention,middle_layers,104.5811,3.3398,10.1478,0.1673,0.0141,0.0105
attention,second_half,439.2835,5.8311,20.9144,0.1334,0.0273,0.0058
last_n,all_layers,254.9481,4.1249,15.9023,0.1311,0.0288,0.0056
last_n,first_half,56.0939,1.2111,7.4413,0.0826,-0.0299,0.0197
last_n,first_last,168.4654,0.7172,12.9532,0.0286,-0.0178,0.0109
last_n,last_4,254.9481,4.1249,15.9023,0.1311,0.0288,0.0056
last_n,middle_layers,91.3605,3.87,9.491,0.2134,0.0178,0.0092
last_n,second_half,254.9481,4.1249,15.9023,0.1311,0.0288,0.0056
mean,all_layers,106.9627,1.6269,10.3058,0.0824,0.0033,0.0121
mean,first_half,48.8191,1.0593,6.9273,0.078,-0.0344,0.017
mean,first_last,168.4654,0.7172,12.9532,0.0286,-0.0178,0.0109
mean,last_4,254.9481,4.1249,15.9023,0.1311,0.0288,0.0056
mean,middle_layers,75.6225,2.4766,8.6494,0.1495,0.0071,0.0133
mean,second_half,188.9154,3.3873,13.6843,0.1284,0.027,0.0063
weighted_mean,all_layers,160.4371,2.3397,12.6243,0.096,0.0194,0.0083
weighted_mean,first_half,58.4503,1.3011,7.5994,0.0876,-0.0313,0.0194
weighted_mean,first_last,229.6665,0.6691,15.1361,0.022,-0.0042,0.0097
weighted_mean,last_4,319.5814,3.2229,17.8314,0.0881,0.0278,0.0056
weighted_mean,middle_layers,83.0851,3.4876,9.0481,0.2026,0.0184,0.0095
weighted_mean,second_half,252.3385,3.2523,15.8319,0.1038,0.028,0.0058
