layer,metric,label,value
layer_0,silhouette,predicted_label,0.5
layer_1,silhouette,predicted_label,0.5000000000000018
layer_2,silhouette,predicted_label,0.4999999999999972
layer_3,silhouette,predicted_label,0.5
layer_4,silhouette,predicted_label,0.4999999999999972
layer_5,silhouette,predicted_label,0.5
layer_6,silhouette,predicted_label,0.5
layer_7,silhouette,predicted_label,0.5
layer_8,silhouette,predicted_label,0.5
layer_9,silhouette,predicted_label,0.5
layer_10,silhouette,predicted_label,0.5
layer_11,silhouette,predicted_label,0.4999999999999992
input,silhouette,predicted_label,0.6156604374753697
